"","archetype","indicator","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1","Business-as-Usual","Biodiversity intactness index",4,-0.4,0.22,-0.34,-0.4,0.14,-0.7,-0.2,0.49,-0.47,-1.88,0.11
"2","Global Sustainable Development","Biodiversity intactness index",31,-0.1,0.36,-0.06,-0.13,0.33,-0.62,0.82,1.44,0.46,-0.14,0.06
"3","Business-as-Usual","Mean species abundance",8,-2.11,0.71,-2.27,-2.11,0.51,-2.94,-0.65,2.29,0.87,-0.35,0.25
"4","Economic Optimism","Mean species abundance",5,-1.87,0.92,-2.46,-1.87,0.14,-2.55,-0.55,2,0.43,-1.98,0.41
"5","Global Sustainable Development","Mean species abundance",15,-0.83,0.76,-0.86,-0.8,0.91,-2.35,0.33,2.68,-0.3,-0.98,0.2
"6","Reformed Markets","Mean species abundance",9,-1.71,0.86,-2.09,-1.71,0.85,-2.66,-0.43,2.23,0.27,-1.8,0.29
"7","Regional Sustainability","Mean species abundance",7,-1.77,0.55,-1.8,-1.77,0.5,-2.66,-1.1,1.56,-0.21,-1.51,0.21
"8","Business-as-Usual","Temperature change",49,1.98,0.45,2.08,2.01,0.3,0.46,2.98,2.52,-1.08,1.83,0.06
"9","Economic Optimism","Temperature change",13,2.39,0.98,2.81,2.53,0.33,0.24,3.06,2.83,-1.31,0.09,0.27
"10","Global Sustainable Development","Temperature change",120,0.5,0.47,0.34,0.42,0.14,-0.04,1.86,1.9,1.52,1.17,0.04
"11","Reformed Markets","Temperature change",90,0.5,0.42,0.35,0.45,0.15,-0.1,2.07,2.17,1.52,2.53,0.04
"12","Regional Competition","Temperature change",18,2.09,0.28,2.08,2.07,0.34,1.73,2.68,0.95,0.38,-1.1,0.07
"13","Regional Sustainability","Temperature change",4,1.38,0.45,1.33,1.38,0.5,0.99,1.86,0.87,0.06,-2.37,0.23
"14","Business-as-Usual","Total CO2 emissions",50,7.11,10.46,9.72,8.25,8.44,-27.7,24.9,52.6,-1.05,1.21,1.48
"15","Economic Optimism","Total CO2 emissions",14,18.97,17.17,26.46,20.63,7.73,-15.98,33.97,49.95,-1.07,-0.55,4.59
"16","Global Sustainable Development","Total CO2 emissions",121,-15.11,5.36,-15.79,-15.62,3.66,-41.87,4.03,45.9,0.08,5.58,0.49
"17","Reformed Markets","Total CO2 emissions",87,-16.83,4.39,-18.08,-17.17,2.95,-23.32,6.99,30.31,1.96,8.11,0.47
"18","Regional Competition","Total CO2 emissions",19,9.94,9.42,9.17,9.62,10.55,-6.72,32.06,38.78,0.29,-0.45,2.16
"19","Regional Sustainability","Total CO2 emissions",4,-12.75,11.11,-17.82,-12.75,1.96,-19.14,3.81,22.95,0.72,-1.71,5.55
