"","scenario type","scenario type 2","indicator","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1","Intervention","exploratory","Temperature change",10,1.67,0.33,1.69,1.72,0.16,0.89,2.07,1.19,-1.11,0.8,0.1
"2","Intervention","exploratory","Total CO2 emissions",12,-4.02,6.86,-3.84,-4.29,11.06,-12.33,6.99,19.32,0.12,-1.57,1.98
"3","Intervention","policy-screening","Biodiversity intactness index",23,-0.18,0.4,-0.28,-0.22,0.3,-0.62,0.82,1.44,0.93,0.01,0.08
"4","Intervention","policy-screening","Mean species abundance",20,-1.56,0.99,-1.92,-1.62,1,-2.66,0.07,2.73,0.45,-1.5,0.22
"5","Intervention","policy-screening","Temperature change",11,0.64,0.52,0.43,0.52,0.09,0.32,2.09,1.76,1.94,2.64,0.16
"6","Intervention","policy-screening","Total CO2 emissions",7,-12.1,13.67,-18.26,-12.1,0.47,-18.63,18.2,36.83,1.48,0.48,5.17
"7","Intervention","reference","Temperature change",8,1.39,0.18,1.42,1.39,0.22,1.16,1.57,0.41,-0.12,-2.06,0.06
"8","Intervention","reference","Total CO2 emissions",8,-7.46,3.83,-7.5,-7.46,5.92,-11.73,-2.98,8.75,0.02,-1.95,1.35
"9","Intervention","target-seeking","Biodiversity intactness index",11,0.04,0.08,0.02,0.04,0.12,-0.07,0.13,0.2,-0.01,-1.93,0.02
"10","Intervention","target-seeking","Mean species abundance",12,-1.1,0.63,-1.1,-1.12,0.23,-2.29,0.33,2.62,0.35,0.39,0.18
"11","Intervention","target-seeking","Temperature change",189,0.42,0.35,0.33,0.37,0.13,-0.1,1.86,1.96,1.65,2.61,0.03
"12","Intervention","target-seeking","Total CO2 emissions",190,-16.73,3.82,-16.99,-16.77,3.67,-41.87,-4.42,37.45,-1.04,9.1,0.28
"13","Modest-intervention","policy-screening","Temperature change",5,1.73,0.82,1.79,1.73,1.02,0.89,2.98,2.09,0.39,-1.64,0.37
"14","Modest-intervention","policy-screening","Total CO2 emissions",5,-4.69,14.85,-5.33,-4.69,17.86,-27.7,10.01,37.71,-0.46,-1.59,6.64
"15","Modest-intervention","reference","Temperature change",10,1.48,0.53,1.64,1.53,0.5,0.46,2.08,1.62,-0.6,-1.13,0.17
"16","Modest-intervention","reference","Total CO2 emissions",10,-0.32,9.34,3.76,0.18,7.47,-18.23,13.6,31.83,-0.44,-0.98,2.95
"17","Non-intervention","exploratory","Mean species abundance",4,-1.97,0.98,-1.89,-1.97,1.11,-3.06,-1.06,2,-0.08,-2.33,0.49
"18","Non-intervention","exploratory","Temperature change",26,2.25,0.41,2.26,2.22,0.59,1.73,3.06,1.33,0.48,-1,0.08
"19","Non-intervention","exploratory","Total CO2 emissions",29,13.73,11.15,14.57,13.74,14.94,-6.72,33.97,40.69,0.07,-0.91,2.07
"20","Non-intervention","reference","Biodiversity intactness index",3,-0.46,0.21,-0.4,-0.46,0.16,-0.7,-0.29,0.41,-0.27,-2.33,0.12
"21","Non-intervention","reference","Mean species abundance",8,-2.11,0.71,-2.27,-2.11,0.51,-2.94,-0.65,2.29,0.87,-0.35,0.25
"22","Non-intervention","reference","Temperature change",35,2.26,0.31,2.15,2.22,0.19,1.85,3.03,1.18,1.23,0.69,0.05
"23","Non-intervention","reference","Total CO2 emissions",34,13.69,8.2,14.36,13.22,6.88,-1.53,31.68,33.21,0.41,-0.39,1.41
