"","Impact_focus","Type","Count","Percentages"
"1","Biodiversity","Scenarios",109,18.1
"2","Biodiversity","Studies",12,18.8
"3","Biodiversity, Climate change, SDGs","Scenarios",183,30.4
"4","Biodiversity, Climate change, SDGs","Studies",8,12.5
"5","Biodiversity, SDGs","Scenarios",3,0.5
"6","Biodiversity, SDGs","Studies",1,1.6
"7","Climate change","Scenarios",249,41.4
"8","Climate change","Studies",31,48.4
"9","Climate change, Biodiversity","Scenarios",22,3.7
"10","Climate change, Biodiversity","Studies",2,3.1
"11","Climate change, SDGs","Scenarios",31,5.2
"12","Climate change, SDGs","Studies",9,14.1
"13","SDGs","Scenarios",4,0.7
"14","SDGs","Studies",1,1.6
